label,symbol,event_ts,start_ts,price_change_60s,max_return_60s,max_neg_return_60s,std_return,vol_sum_60s,vol_max_10s,nonzero_secs
1,SAHARAUSDT,1780971525000,1780971465000,-0.06719022687609073,0.006315789473684057,0.05830994699095728,0.0008437180776128821,13761860.0,13527960.0,23
1,SAHARAUSDT,1780971528000,1780971468000,-0.16250000000000003,0.027988942639944652,0.06270411495754413,0.00417833225206884,19569090.0,18408055.0,25
1,SAHARAUSDT,1780971532000,1780971472000,-0.28534031413612565,0.027988942639944652,0.08630527817403705,0.004572113170861625,27503318.0,19861120.0,26
1,SAHARAUSDT,1780971795000,1780971735000,-0.02293064876957498,0.019696117051209883,0.021690767519465963,0.003629805072256377,17651499.0,12754962.0,15
1,SAHARAUSDT,1780971862000,1780971802000,-0.16761041902604754,0.058388765705838806,0.03295128939828083,0.014894182954716872,94789228.0,32348012.0,60
1,SAHARAUSDT,1780971986000,1780971926000,-0.10874568469505175,0.031468531468531395,0.03171753441053257,0.00678640568829755,59382306.0,14448785.0,60
1,SAHARAUSDT,1780972148000,1780972088000,-0.03393085787451991,0.04206896551724134,0.040504648074369265,0.007977096284831326,53261620.0,18709690.0,60
1,SAHARAUSDT,1780972258000,1780972198000,-0.08941485864562788,0.03261623872310907,0.02505219206680591,0.007237683244589785,36533213.0,7851542.0,60
1,SAHARAUSDT,1780972275000,1780972215000,-0.03512396694214876,0.06402877697841729,0.02505219206680591,0.010168024858231779,40483977.0,11567087.0,60
1,SAHARAUSDT,1780972381000,1780972321000,0.028288543140028363,0.02052785923753671,0.022821576763485507,0.005162247615338195,29362342.0,8322267.0,60
0,SAHARAUSDT,,1780940470000,0.0016570008285003467,0.0008319467554075237,0.001385041551246577,0.0002122427340958286,387767.0,150754.0,33
0,SAHARAUSDT,,1780937398000,-0.0002714440825188959,0.0008136696501221114,0.003249390739236261,0.00024931896259412876,499537.0,201508.0,31
0,SAHARAUSDT,,1780910801000,0.005178663904712552,0.0010354646647684524,0.0010338588782632544,0.00020935618309596464,162539.0,71510.0,23
0,SAHARAUSDT,,1780955814000,0.0025582717453098295,0.00028401022436816425,0.0,6.186932946431871e-05,36576.0,24153.0,15
0,SAHARAUSDT,,1780913297000,0.0005115089514066288,0.001023803429741448,0.001023803429741448,0.00017538890070483188,141387.0,78883.0,21
0,SAHARAUSDT,,1780928231000,-0.0016133369185264198,0.001344809037116768,0.0008071025020178167,0.000228242023496149,530272.0,210588.0,47
0,SAHARAUSDT,,1780892680000,0.004520074448285123,0.002125398512220955,0.00026518164942994067,0.0003819019743554459,440568.0,305843.0,17
0,SAHARAUSDT,,1780967554000,0.00647887323943665,0.001966844619275095,0.0005635390250774636,0.00040211021798130245,498694.0,230714.0,24
0,SAHARAUSDT,,1780947254000,-0.0028465698832907164,0.0008573878250929479,0.0022798518096324785,0.00017359943556425895,656421.0,339762.0,32
0,SAHARAUSDT,,1780922015000,0.0018300653594771404,0.0018300653594771404,0.0005239717055278801,0.0002974874018420274,125022.0,61325.0,18
0,SAHARAUSDT,,1780905621000,0.0010952902519169034,0.0010958904109590495,0.0005476451259583567,0.00021149801571492414,121525.0,52480.0,34
0,SAHARAUSDT,,1780945676000,-0.00027785495971111593,0.0011117287381880298,0.0002779321845468628,0.00016414000114124016,143913.0,43300.0,26
0,SAHARAUSDT,,1780971027000,-0.0014450867052023535,0.00028926815157660004,0.00028935185185194047,5.1910212940256305e-05,78562.0,34461.0,10
0,SAHARAUSDT,,1780893841000,0.0005440696409140148,0.0021750951604131794,0.0019016571583808915,0.00034922915644280934,839887.0,510330.0,35
0,SAHARAUSDT,,1780897527000,0.004768583450210281,0.0014025245441795632,0.0,0.0002510283140845468,206248.0,61016.0,22
0,SAHARAUSDT,,1780943603000,0.0033167495854063587,0.0011034482758622156,0.0005527915975676945,0.0001991652360028482,230239.0,113416.0,21
0,SAHARAUSDT,,1780961760000,0.0002862049227247585,0.0005724098454493185,0.0002862049227245599,7.327939084018602e-05,72071.0,44797.0,8
0,SAHARAUSDT,,1780953418000,-0.0033707865168539903,0.0008443568815086475,0.0016887137630171,0.00011337843602472331,243143.0,129052.0,14
0,SAHARAUSDT,,1780899336000,-0.0016497113005223413,0.000826901874310977,0.0010995052226499533,0.00013746375498281942,158458.0,61840.0,20
0,SAHARAUSDT,,1780924260000,0.002095337873232155,0.0015719151165836404,0.0005236973029588684,0.00028478082053348756,178703.0,77697.0,17
0,SAHARAUSDT,,1780921246000,0.0015735641227381195,0.0015727391874180224,0.0002625360987134713,0.00024019621019705066,141805.0,107405.0,12
0,SAHARAUSDT,,1780901553000,0.0026716537536736005,0.0021356113187399025,0.000800854244527556,0.00033767604882705256,217657.0,128020.0,25
0,SAHARAUSDT,,1780917284000,0.004400724825265428,0.0025926886180970407,0.002326783867631846,0.000481454200711435,613835.0,231045.0,34
0,SAHARAUSDT,,1780922367000,-0.004675324675324665,0.0013007284079084658,0.0013003901170351479,0.00016927389243619437,94738.0,36827.0,17
0,SAHARAUSDT,,1780937996000,-0.002704895861509409,0.001900624490904171,0.0037786774628880224,0.00034827220548928385,615990.0,314373.0,31
0,SAHARAUSDT,,1780900806000,0.0027255382938131062,0.0002727024815924768,0.0002726281352234494,8.171057545302487e-05,85849.0,42311.0,13
0,SAHARAUSDT,,1780929071000,0.006688068485821302,0.0015970188980568953,0.002124269782262261,0.00042418945273729844,1037531.0,475872.0,37
0,SAHARAUSDT,,1780935526000,0.004453759496987072,0.0018305439330542279,0.0005235602094240625,0.00029304289850795687,212067.0,68955.0,25
0,SAHARAUSDT,,1780950459000,-0.0005709391949757118,0.0,0.0,0.0,452.0,452.0,2
0,SAHARAUSDT,,1780953432000,-0.0022497187851519595,0.0008443568815086475,0.0016887137630171,0.00011337843602472328,241828.0,129052.0,10
0,SAHARAUSDT,,1780917549000,0.003623188405797133,0.002331002331002326,0.001551991722710749,0.00042884074328700843,428368.0,179205.0,22
0,SAHARAUSDT,,1780937443000,-0.0018970189701897186,0.0016313213703098846,0.003249390739236261,0.00033421824973172256,477435.0,298228.0,35
0,SAHARAUSDT,,1780893836000,0.0021798365122614916,0.0021750951604131794,0.0019016571583808915,0.0003527714175729842,874280.0,510330.0,34
0,SAHARAUSDT,,1780928094000,-0.0013376136971641117,0.005361930294906134,0.0010718113612003851,0.0008475299989590126,1618367.0,1132832.0,39
0,SAHARAUSDT,,1780917678000,0.0020687871735194396,0.0020709293295367247,0.0005184033177813925,0.0003938468583583089,329633.0,159853.0,27
0,SAHARAUSDT,,1780938058000,0.002441671188279973,0.0016273393002440345,0.0010843046896177385,0.0003108550612225966,448641.0,209760.0,29
0,SAHARAUSDT,,1780953364000,0.0008441193021945781,0.0016872890888638232,0.0005619556055071421,0.00030266510270460863,160484.0,85610.0,13
0,SAHARAUSDT,,1780891241000,-0.005470174524615834,0.0007865757734662361,0.004955659885237239,0.00016180868792556693,674250.0,504696.0,25
0,SAHARAUSDT,,1780909974000,0.0015511892450878375,0.0015475883415012766,0.0015491866769945146,0.00030701076277037315,595465.0,224576.0,38
0,SAHARAUSDT,,1780969505000,-0.0031446540880502856,0.0005738880918220714,0.0025802752293577922,8.157706219538688e-05,682116.0,627678.0,24
0,SAHARAUSDT,,1780962990000,-0.0031930333817125974,0.0005827505827505589,0.0017441860465115568,0.00015111272021845647,855112.0,308751.0,36
0,SAHARAUSDT,,1780894247000,-0.005709624796084879,0.0019167579408543435,0.006528835690968555,0.00037581799503815265,1471532.0,752086.0,37
0,SAHARAUSDT,,1780950831000,0.0,0.0002844950213370163,0.0002844950213372137,6.198662261553356e-05,47113.0,35050.0,7
0,SAHARAUSDT,,1780897694000,-0.0016736401673639485,0.00027948574622702803,0.0008370535714284406,5.009936476190884e-05,66680.0,31434.0,15
0,SAHARAUSDT,,1780950529000,0.001142530705512664,0.0008564087924636668,0.0,0.00010963667924449296,24055.0,23908.0,3
0,SAHARAUSDT,,1780918928000,0.0015436068947774003,0.0007712082262211375,0.0005144032921810491,0.00013418248385113813,78578.0,35004.0,23
0,SAHARAUSDT,,1780906969000,0.002119766825649092,0.0015915119363396418,0.0010598834128247299,0.000232557946691488,246029.0,141920.0,27
0,SAHARAUSDT,,1780962448000,0.0005719187875321471,0.00028636884306996167,0.0008581235697939162,7.139717459749471e-05,84679.0,73019.0,12
0,SAHARAUSDT,,1780913845000,-0.001540832049306741,0.0005151983513652546,0.0015420200462605387,0.0001367764951334589,131700.0,57847.0,20
0,SAHARAUSDT,,1780914469000,0.0010251153254740742,0.0015408320493065627,0.001280409731113993,0.00028099396406194247,314080.0,158641.0,26
